Chazot,category,Tolman,sex,file,L,a,b
Aricia_nicias,Lycaenidae high,Lycaenidae_Pseudaricia_nicias,male,photos/feb2020_calibrated_photos/Color_corrected_cut/P2250007.png,34.6922722281938,4.65002234204415,9.11504915693169
Aricia_nicias,Lycaenidae high,Lycaenidae_Pseudaricia_nicias,female,photos/feb2020_calibrated_photos/Color_corrected_cut/P2250006.png,34.4418329045133,8.01418779865551,20.152383789261
Iolana_iolas,Lycaenidae high,Lycaenidae_Iolana_iolas,male,photos/feb2020_calibrated_photos/Color_corrected_cut/P2250023.png,45.9498625123984,7.09456833925902,-5.21573756980469
Iolana_iolas,Lycaenidae high,Lycaenidae_Iolana_iolas,female,photos/feb2020_calibrated_photos/Color_corrected_cut/P2250022.png,42.0712548213756,7.83616102294451,3.1505439762172
Lycaena_dispar,Lycaenidae high,Lycaenidae_Lycaena_dispar,male,photos/feb2020_calibrated_photos/Color_corrected_cut/P2250002.png,34.937456951526,25.4493037054981,40.1596459869699
Lycaena_dispar,Lycaenidae high,Lycaenidae_Lycaena_dispar,female,photos/feb2020_calibrated_photos/Color_corrected_cut/P2250003.png,32.1874001824825,16.0513208557331,33.3758536434367
Plebejidea_loewii,Lycaenidae high,Lycaenidae_Plebejus_loewii,male,photos/feb2020_calibrated_photos/Color_corrected_cut/P2250017.png,44.8679839178797,7.68043497382469,-12.2999875004364
Plebejidea_loewii,Lycaenidae high,Lycaenidae_Plebejus_loewii,female,photos/feb2020_calibrated_photos/Color_corrected_cut/P2250016.png,30.001506277616,8.39832029507788,18.9435781097445
Polyommatus_thersites,Lycaenidae high,Lycaenidae_Agrodiaetus_thersites,male,photos/feb2020_calibrated_photos/Color_corrected_cut/P2250011.png,40.4158253960698,8.85151214095411,-8.27307866188439
Polyommatus_thersites,Lycaenidae high,Lycaenidae_Agrodiaetus_thersites,female,photos/feb2020_calibrated_photos/Color_corrected_cut/P2250010.png,31.4355816138675,8.35966457968205,20.1282391771879
Callophrys_avis,Lycaenidae low,Lycaenidae_Callophrys_avis,male,photos/feb2020_calibrated_photos/Color_corrected_cut/P2250021.png,35.2218799789936,9.33634186365629,26.4316818881504
Callophrys_avis,Lycaenidae low,Lycaenidae_Callophrys_avis,female,photos/feb2020_calibrated_photos/Color_corrected_cut/P2250020.png,38.4187676515855,11.2913557600449,34.1878896399163
