Wiemers,Tolman
Papilionidae Iphiclides podalirius,Iphiclides podalirius
Papilionidae Papilio alexanor,Papilio alexanor
Papilionidae Papilio hospiton,Papilio hospiton
Papilionidae Papilio machaon britannicus,Papilio machaon
Papilionidae Papilio machaon gorganus,Papilio machaon
Papilionidae Archon apollinus,Archon apollinus
Papilionidae Zerynthia polyxena,Zerynthia polyxena
Papilionidae Zerynthia polyxena ochracea,Zerynthia polyxena
Papilionidae Zerynthia rumina,Zerynthia rumina
Papilionidae Zerynthia rumina medesicaste,Zerynthia rumina
Papilionidae Zerynthia rumina honnoratii,Zerynthia rumina
Papilionidae Zerynthia rumina canteneri,Zerynthia rumina
Papilionidae Zerynthia cerisy,Zerynthia cerisy
Papilionidae Zerynthia cerisy cerisy,Zerynthia cerisy
Papilionidae Parnassius apollo,Parnassius apollo
Papilionidae Parnassius apollo rhodopensis,Parnassius apollo
Papilionidae Parnassius phoebus,Parnassius phoebus
Papilionidae Parnassius phoebus cardinalis,Parnassius phoebus
Papilionidae Parnassius mnemosyne athene,Parnassius mnemosyne
Pieridae Leptidea duponcheli,Leptidea duponcheli
Pieridae Leptidea morsei,Leptidea morsei
Pieridae Leptidea sinapis,Leptidea sinapis
Pieridae Pontia chloridice,Pontia chloridice
Pieridae Pontia callidice,Pontia callidice
Pieridae Pontia daplidice,Pontia daplidice
Pieridae Artogeia bryoniae,Pieris bryoniae
Pieridae Artogeia napi,Pieris napi
Pieridae Artogeia napi segonzaci,Pieris napi
Pieridae Artogeia napi napi,Pieris napi
Pieridae Artogeia ergane,Pieris ergane
Pieridae Artogeia rapae,Pieris rapae
Pieridae Artogeia mannii,Pieris mannii
Pieridae Pieris brassicae,Pieris brassicae
Pieridae Artogeia krueperi,Pieris krueperi
Pieridae Aporia crataegi,Aporia crataegi
Pieridae Euchloe tagis tagis,Euchloe tagis
Pieridae Elphinstonia penia,Euchloe penia
Pieridae Elphinstonia charlonia,Euchloe charlonia
Pieridae Zegris eupheme,Zegris eupheme
Pieridae Euchloe belemia,Euchloe belemia
Pieridae Euchloe insolaris,Euchloe insularis
Pieridae Euchloe simplonia,Euchloe simplonia
Pieridae Euchloe ausonia,Euchloe ausonia
Pieridae Anthocharis belia euphenoides,Anthocharis euphenoides
Pieridae Anthocharis gruneri,Anthocharis gruneri
Pieridae Anthocharis damone,Anthocharis damone
Pieridae Anthocharis cardamines,Anthocharis cardamines
Pieridae Colotis evagore,Colotis evagore
Pieridae Colias chrysotheme,Colias chrysotheme
Pieridae Colias erate,Colias erate
Pieridae Colias erate white form,Colias erate
Pieridae Colias crocea,Colias crocea
Pieridae Colias crocea helice,Colias crocea
Pieridae Colias aurorina,Colias aurorina
Pieridae Colias phicomone,Colias phicomone
Pieridae Colias hecla,Colias hecla
Pieridae Colias palaeno,Colias palaeno
Pieridae Colias nastes,Colias tyche
Pieridae Colias caucasia,Colias caucasica
Pieridae Colias myrmidone,Colias myrmidone
Pieridae Colias hyale,Colias hyale
Pieridae Colias alfacariensis,Colias alfacariensis
Pieridae Catopsila florella,Catopsilia florella
Pieridae Gonepteryx rhamni,Gonepteryx rhamni
Pieridae Gonepteryx cleopatra,Gonepteryx cleopatra
Pieridae Gonepteryx farinosa,Gonepteryx farinosa
Lycaenidae Lycaena phlaeas,Lycaena phlaeas
Lycaenidae Lycaena ottomana,Lycaena ottomana
Lycaenidae Lycaena tityrus tityrus,Lycaena tityrus
Lycaenidae Lycaena virgaureae,Lycaena virgaureae
Lycaenidae Lycaena dispar,Lycaena dispar
Lycaenidae Lycaena thersamon,Lycaena thersamon
Lycaenidae Lycaena thetis,Lycaena thetis
Lycaenidae Lycaena hippothoe hippothoe,Lycaena hippothoe
Lycaenidae Lycaena candens,Lycaena candens
Lycaenidae Lycaena helle,Lycaena helle
Lycaenidae Lycaena alciphron alciphron,Lycaena alciphron
Lycaenidae Callophrys rubi,Callophrys rubi
Lycaenidae Callophrys avis,Callophrys avis
Lycaenidae Satyrium ledereri,Satyrium ledereri
Lycaenidae Satyrium spini,Satyrium spini
Lycaenidae Satyrium acaciae,Satyrium acaciae
Lycaenidae Satyrium w-album,Satyrium w-album
Lycaenidae Satyrium esculi,Satyrium esculi
Lycaenidae Satyrium ilicis,Satyrium ilicis
Lycaenidae Satyrium pruni,Satyrium pruni
Lycaenidae Tomares nogelii,Tomares nogelii
Lycaenidae Tomares ballus,Tomares ballus
Lycaenidae Quercusia quercus,Favonius quercus
Lycaenidae Laeopsis roboris,Laeosopis roboris
Lycaenidae Thecla betulae,Thecla betulae
Lycaenidae Cacyreus marshalli,Cacyreus marshalli
Lycaenidae Lampides boeticus,Lampides boeticus
Lycaenidae Pseudophilotes bavius macedonicus,Pseudophilotes bavius
Lycaenidae Pseudophilotes barbagiae,Pseudophilotes barbagiae
Lycaenidae Pseudophilotes abencerragus,Pseudophilotes abencerragus
Lycaenidae Pseudophilotes panoptes,Pseudophilotes panoptes
Lycaenidae Pseudophilotes baton,Pseudophilotes baton
Lycaenidae Pseudophilotes vicrama,Pseudophilotes vicrama
Lycaenidae Turanana endymion,Turanana taygetica
Lycaenidae Turanana endymion taygetica,Turanana taygetica
Lycaenidae Scolitantides orion lariana,Scolitantides orion
Lycaenidae Glaucopsyche alexis,Glaucopsyche alexis
Lycaenidae Glaucopsyche melanops,Glaucopsyche melanops
Lycaenidae Iolana iolas,Iolana iolas
Lycaenidae Maculinea nausithous,Phengaris nausithous
Lycaenidae Maculinea telejus,Phengaris teleius
Lycaenidae Maculinea arion arion,Phengaris arion
Lycaenidae Maculinea alcon,Phengaris alcon
Lycaenidae Maculinea rebeli,Phengaris alcon
Lycaenidae Celastrina argiolus,Celastrina argiolus
Lycaenidae Zizeeria knysna,Zizeeria knysna
Lycaenidae Tarucus balcanicus,Tarucus balkanicus
Lycaenidae Tarucus theophrastus,Tarucus theophrastus
Lycaenidae Cupido osiris,Cupido osiris
Lycaenidae Cupido carswelli,Cupido minimus
Lycaenidae Cupido minimus,Cupido minimus
Lycaenidae Cupido lorquinii,Cupido lorquinii
Lycaenidae Everes decoloratus,Cupido decoloratus
Lycaenidae Everes alcetas,Cupido alcetas
Lycaenidae Everes argiades,Cupido argiades
Lycaenidae Chilades trochylus,Freyeria trochylus
Lycaenidae Aricia morronensis,Aricia morronensis
Lycaenidae Ultraaricia anteros,Aricia anteros
Lycaenidae Aricia agestis,Aricia agestis
Lycaenidae Aricia artaxerxes,Aricia artaxerxes
Lycaenidae Pseudaricia nicias,Aricia nicias
Lycaenidae Lysandra bellargus,Lysandra bellargus
Lycaenidae Lysandra albicans,Lysandra albicans
Lycaenidae Lysandra hispana,Lysandra hispana
Lycaenidae Lysandra coridon,Lysandra coridon
Lycaenidae Lysandra philippi,Lysandra coridon
Lycaenidae Agrodiaetus thersites,Polyommatus thersites
Lycaenidae Agrodiaetus damon,Polyommatus damon
Lycaenidae Agrodiaetus iphigenia,Polyommatus iphigenia
Lycaenidae Agrodiaetus admetus,Polyommatus admetus
Lycaenidae Agrodiaetus agenjoi,Polyommatus ripartii
Lycaenidae Agrodiaetus ripartii ripartii,Polyommatus ripartii
Lycaenidae Agrodiaetus galloi,Polyommatus ripartii
Lycaenidae Agrodiaetus nephohiptamenos,Polyommatus nephohiptamenos
Lycaenidae Agrodiaetus ainsae,Polyommatus dolus
Lycaenidae Agrodiaetus dolus dolus,Polyommatus dolus
Lycaenidae Agrodiaetus fabressei,Polyommatus fabressei
Lycaenidae Agrodiaetus aroaniensis,Polyommatus aroaniensis
Lycaenidae Agrodiaetus humedasae,Polyommatus humedasae
Lycaenidae Agrodiaetus violeta,Polyommatus violetae
Lycaenidae Polyommatus icarus icarus,Polyommatus icarus
Lycaenidae Polyommatus eroides,Polyommatus eros
Lycaenidae Polyommatus menelaos,Polyommatus eros
Lycaenidae Polyommatus eros,Polyommatus eros
Lycaenidae Plebicula dorylas,Polyommatus dorylas
Lycaenidae Plebicula golgus golgus,Polyommatus golgus
Lycaenidae Plebicula nivescens,Polyommatus nivescens
Lycaenidae Agrodiaetus amanda,Polyommatus amandus
Lycaenidae Meleageria daphnis,Polyommatus daphnis
Lycaenidae Agrodiaetus escheri,Polyommatus escheri
Lycaenidae Neolysandra coelestina,Neolysandra coelestina
Lycaenidae Plebejus pylaon sephirus,Kretania pylaon
Lycaenidae Kretania eurypilus,Kretania eurypilus
Lycaenidae Albulina orbitulus,Agriades orbitulus
Lycaenidae Vacciniia opilete,Agriades optilete
Lycaenidae Agriades glandon glandon,Agriades glandon
Lycaenidae Agrodiaetus pyrenaicus pyrenaicus,Agriades pyrenaicus
Lycaenidae Kretania psylorita,Kretania psylorita
Lycaenidae Cyaniris semiargus semiargus,Cyaniris semiargus
Lycaenidae Plebejus loewii,Plebejidea loewii
Lycaenidae Eumedonia eumedon,Eumedonia eumedon
Lycaenidae Plebejus argus argus,Plebejus argus
Lycaenidae Plebejus argyrognomon,Plebejus argyrognomon
Lycaenidae Plebejus idas idas,Plebejus idas
Lycaenidae Leptotes pirithous,Leptotes pirithous
Lycaenidae Cyclyrius webbianus,Cyclyrius webbianus
Lycaenidae Azanus jesous,Azanus jesous
Lycaenidae Azanus ubaldus,Azanus ubaldus
Riodinidae Hamearis lucina,Hamearis lucina
Nymphalidae Neptis rivularis,Neptis rivularis
Nymphalidae Neptis sappho,Neptis sappho
Nymphalidae Limenitis camilla,Limenitis camilla
Nymphalidae Limenitis reducta,Limenitis reducta
Nymphalidae Limenitis populi,Limenitis populi
Nymphalidae Argynnis adippe adippe,Fabriciana adippe
Nymphalidae Argynnis niobe,Fabriciana niobe
Nymphalidae Argynnis elisa,Fabriciana elisa
Nymphalidae Argynnis aglaja aglaja,Speyeria aglaja
Nymphalidae Argynnis pandora,Argynnis pandora
Nymphalidae Argynnis paphia,Argynnis paphia
Nymphalidae Argynnis laodice,Argynnis laodice
Nymphalidae Brenthis hecate,Brenthis hecate
Nymphalidae Brenthis ino,Brenthis ino
Nymphalidae Brenthis daphne,Brenthis daphne
Nymphalidae Issoria lathonia,Issoria lathonia
Nymphalidae Boloria graeca,Boloria graeca
Nymphalidae Boloria napaea,Boloria napaea
Nymphalidae Boloria aquilonaris,Boloria aquilonaris
Nymphalidae Boloria pales pales,Boloria pales
Nymphalidae Clossiana polaris,Boloria polaris
Nymphalidae Clossiana selene,Boloria selene
Nymphalidae Clossiana thore thore,Boloria thore
Nymphalidae Clossiana frigga,Boloria frigga
Nymphalidae Clossiana improba,Boloria improba
Nymphalidae Clossiana dia,Boloria dia
Nymphalidae Clossiana chariclea,Boloria chariclea
Nymphalidae Clossiana titania titania,Boloria titania
Nymphalidae Clossiana freija,Boloria freija
Nymphalidae Clossiana euphorysne,Boloria euphrosyne
Nymphalidae Proclossiana eunomia eunomia,Boloria eunomia
Nymphalidae Apatura iris,Apatura iris
Nymphalidae Apatura ilia ilia,Apatura ilia
Nymphalidae Apatura metis,Apatura metis
Nymphalidae Araschnia levana,Araschnia levana
Nymphalidae Vanessa virginiensis,Vanessa virginiensis
Nymphalidae Vanessa cardui,Vanessa cardui
Nymphalidae Vanessa atalanta,Vanessa atalanta
Nymphalidae Vanessa indica,Vanessa vulcania
Nymphalidae Inachis io,Aglais io
Nymphalidae Aglais urticae,Aglais urticae
Nymphalidae Polygonia c-album,Polygonia c-album
Nymphalidae Polygonia egea,Polygonia egea
Nymphalidae Nymphalis vaualbum,Nymphalis vaualbum
Nymphalidae Nymphalis polychlorus,Nymphalis polychloros
Nymphalidae Nymphalis xanthomelas,Nymphalis xanthomelas
Nymphalidae Nymphalis antiopa,Nymphalis antiopa
Nymphalidae Melitaea didyma didyma,Melitaea didyma
Nymphalidae Melitaea trivia trivia,Melitaea trivia
Nymphalidae Melitaea arduinna,Melitaea arduinna
Nymphalidae Melitaea aetherica,Melitaea aetherie
Nymphalidae Melitaea phoebe phoebe,Melitaea phoebe
Nymphalidae Melitaea diamina diamina,Melitaea diamina
Nymphalidae Mellicta britomartis,Melitaea britomartis
Nymphalidae Mellicta athalia athalia,Melitaea athalia
Nymphalidae Mellicta deione deione,Melitaea deione
Nymphalidae Mellicta varia,Melitaea varia
Nymphalidae Mellicta asteria,Melitaea asteria
Nymphalidae Mellicta aurelia,Melitaea aurelia
Nymphalidae Mellicta parthenoides,Melitaea parthenoides
Nymphalidae Melitaea cinxia,Melitaea cinxia
Nymphalidae Hypodryas cynthia,Euphydryas cynthia
Nymphalidae Hypodryas intermedia,Euphydryas intermedia
Nymphalidae Hypodryas maturna,Euphydryas maturna
Nymphalidae Hypodryas iduna,Euphydryas iduna
Nymphalidae Eurodryas desfontainii,Euphydryas desfontainii
Nymphalidae Eurodryas aurinia,Euphydryas aurinia
Libytheidae Libythea celtis,Libythea celtis
Danaidae Danaus plexippus,Danaus plexippus
Danaidae Danaus chrysippus,Danaus chrysippus
Nymphalidae Charaxes jasius,Charaxes jasius
Satyridae Pararge aegeria aegeria,Pararge aegeria
Satyridae Pararge xiphioides,Pararge xiphioides
Satyridae Pararge xiphia,Pararge xiphia
Satyridae Lopinga achine,Lopinga achine
Satyridae Kirinia roxelana,Kirinia roxelana
Satyridae Kirinia climene,Kirinia climene
Satyridae Lasiommata maera maera,Lasiommata maera
Satyridae Lasiommata petropolitana,Lasiommata petropolitana
Satyridae Lasiommata megera,Lasiommata megera
Satyridae Coenonympha thyrsis,Coenonympha thyrsis
Satyridae Coenonympha pamphilus,Coenonympha pamphilus
Satyridae Coenonympha tullia tullia,Coenonympha tullia
Satyridae Coenonympha rhodopensis,Coenonympha rhodopensis
Satyridae Coenonympha dorus dorus,Coenonympha dorus
Satyridae Coenonympha glycerion glycerion,Coenonympha glycerion
Satyridae Coenonympha corinna,Coenonympha corinna
Satyridae Coenonympha elbana,Coenonympha corinna
Satyridae Coenonympha hero,Coenonympha hero
Satyridae Coenonympha leander leander,Coenonympha leander
Satyridae Coenonympha arcania,Coenonympha arcania
Satyridae Coenonympha darwiniana,Coenonympha gardetta
Satyridae Coenonympha gardetta,Coenonympha gardetta
Satyridae Coenonympha oedippus,Coenonympha oedippus
Satyridae Melanargia occitanica occitanica,Melanargia occitanica
Satyridae Melanargia arge,Melanargia arge
Satyridae Melanargia russiae cleanthe,Melanargia russiae
Satyridae Melanargia larissa,Melanargia larissa
Satyridae Melanargia lachesis,Melanargia lachesis
Satyridae Melanargia galathea,Melanargia galathea
Satyridae Melanargia ines,Melanargia ines
Satyridae Satyrus actaea,Satyrus actaea
Satyridae Satyrus ferula,Satyrus ferula
Satyridae Pseudochazara anthelea anthelea,Pseudochazara anthelea
Satyridae Pseudochazara anthelea amalthea,Pseudochazara amalthea
Satyridae Pseudochazara cingovskii,Pseudochazara cingovskii
Satyridae Pseudochazara mniszechii,Pseudochazara tisiphone
Satyridae Pseudochazara orestes,Pseudochazara orestes
Satyridae Pseudochazara hippolyte,Pseudochazara williamsi
Satyridae Pseudochazara geyeri,Pseudochazara geyeri
Satyridae Pseudochazara graeca graeca,Pseudochazara graeca
Satyridae Pseudochazara mamurra,Pseudochazara amymone
Satyridae Chazara prieuri,Chazara prieuri
Satyridae Chazara briseis,Chazara briseis
Satyridae Arethusana arethusa arethusa,Arethusana arethusa
Satyridae Minois dryas,Minois dryas
Satyridae Kanetisa circe,Brintesia circe
Satyridae Oeneis bore,Oeneis bore
Satyridae Oeneis jutta,Oeneis jutta
Satyridae Oeneis norna,Oeneis norna
Satyridae Oeneis glacialis,Oeneis glacialis
Satyridae Neohipparchia statilinus statilinus,Hipparchia statilinus
Satyridae Neohipparchia fatua,Hipparchia fatua
Satyridae Pseudotergumia wyssii wyssii,Hipparchia wyssii
Satyridae Pseudotergumia fidia,Hipparchia fidia
Satyridae Hipparchia alcyone,Hipparchia hermione
Satyridae Hipparchia fagi,Hipparchia fagi
Satyridae Hipparchia syriaca,Hipparchia syriaca
Satyridae Hipparchia neomiris,Hipparchia neomiris
Satyridae Hipparchia mersina,Hipparchia mersina
Satyridae Hipparchia azorina,Hipparchia azorina
Satyridae Hipparchia caldeirense,Hipparchia azorina
Satyridae Hipparchia aristaeus aristaeus,Hipparchia aristaeus
Satyridae Hipparchia pellucida,Hipparchia pellucida
Satyridae Hipparchia cretica,Hipparchia cretica
Satyridae Hipparchia volgenis,Hipparchia volgensis
Satyridae Hipparchia semele,Hipparchia semele
Satyridae Hyponephele lupina,Hyponephele lupina
Satyridae Hyponephele lycaon,Hyponephele lycaon
Satyridae Pyronia cecilia,Pyronia cecilia
Satyridae Pyronia tithonus,Pyronia tithonus
Satyridae Aphantopus hyperantus,Aphantopus hyperantus
Satyridae Pyronia bathseba,Pyronia bathseba
Satyridae Maniola telmessia,Maniola telmessia
Satyridae Maniola jurtina jurtina,Maniola jurtina
Satyridae Maniola nurag,Maniola nurag
Satyridae Erebia claudina,Erebia claudina
Satyridae Erebia epistygne,Erebia epistygne
Satyridae Erebia christi,Erebia christi
Satyridae Erebia epiphron silesiana,Erebia epiphron
Satyridae Erebia orientalis,Erebia orientalis
Satyridae Erebia pharte pharte,Erebia pharte
Satyridae Erebia meolans meolans,Erebia meolans
Satyridae Erebia palarica,Erebia palarica
